Event	ID (ID of the sampling site)	Sample ID	Longitude (WGS84)	Latitude (WGS84)	Elevation [m a.s.l.] (Of the surface of the samplin...)	Land use (Land-use type of the sampling...)	Year sampl (The year in which the soil sa...)	Depth soil [m] (The depth at which the soil s...)	Clay [%] (Clay (< 0.02 mm) content in s...)	Silt [%] (Silt (0.02 -0.5 mm) content i...)	Sand [%] (Sand (> 0.5 mm) content in so...)	Method (Method for measuring soil par...)	Soil texture quality (Quality level of soil particl...)	Soil texture class (Based on USDA (broad categori...)	Soil texture class (Based on USDA (subclasses (cl...)	DBD [g/cm**3] (Bulk density of soil, Oven dr...)	Method (Method for measuring soil bul...)	Ks [cm/min] (Soil saturated water conducti...)	Method (Method for measuring soil sat...)	Method (Method for measuring soil wat...)	vol SWC [m**3/m**3] ([meaured_θs] Measured saturat...)	fit SWC sat [m**3/m**3] ([fit_θs] Fitted saturated soi...)	fit SWC res [m**3/m**3] ([fit_θr] Fitted residual soil...)	fit α [m**-1] ([fit_α] Fitted shape paramete...)	fit n ([fit_n] Fitted shape paramete...)	fit m ([fit_m] Fitted shape paramete...)	fit Field capa [m**3/m**3] ([fit_FC] Field capacity, Calc...)	fit PWP [m**3/m**3] ([fit_PWP] Permanent wilting p...)	R**2 ([fit_r²] Coefficient of deter...)	SWC e [%] ([θs_RE] Absolute relative err...)	Quantile range ([θs_RE _range] Quantile range...)
Yellow_River_Basin_1	1	1_0	101.70166700	37.40333300	2960	Grassland	2018	0.05	15.140	64.220	20.650	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.311836653	Oven-drying method	0.089808913	Constant head method	Centrifuge method	0.508272762	0.505695887	0.073163126	2.471037121	1.348044282	0.258184606	0.277143322	0.127980062	0.999999396	0.506986680	Min-Q1
Yellow_River_Basin_1	1	1_1	101.70166700	37.40333300	2960	Grassland	2018	0.20	14.670	75.820	9.510	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.397168814	Oven-drying method	0.026834977	Constant head method	Centrifuge method	0.503855021	0.489961267	0.089171379	1.144155681	1.543044795	0.351930674	0.274091524	0.113425427	0.999998970	2.757490394	Q1-Q3
Yellow_River_Basin_1	1	1_2	101.70166700	37.40333300	2960	Grassland	2018	0.40	12.760	78.060	9.190	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.355781553	Oven-drying method	0.032931665	Constant head method	Centrifuge method	0.515945681	0.502491410	0.092099826	1.181049378	1.535503834	0.348747963	0.280508306	0.117486213	0.999998705	2.607691386	Q1-Q3
Yellow_River_Basin_1	1	1_3	101.70166700	37.40333300	2960	Grassland	2018	0.60	12.560	79.440	8.010	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.330670182	Oven-drying method	0.034039548	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_4	101.70166700	37.40333300	2960	Grassland	2018	0.80	12.630	76.130	11.240	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.365547087	Oven-drying method	0.076396141	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_5	101.70166700	37.40333300	2960	Grassland	2018	1.00	17.050	77.840	5.110	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.328345055	Oven-drying method	0.153334914	Constant head method	Centrifuge method	0.520363422	0.510292248	0.092572301	1.228992757	1.430645217	0.301014683	0.310973856	0.136372238	0.999998996	1.935411621	Q1-Q3
Yellow_River_Basin_1	1	1_6	101.70166700	37.40333300	2960	Grassland	2018	1.20	14.480	76.930	8.590	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.272076981	Oven-drying method	0.063258516	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_7	101.70166700	37.40333300	2960	Grassland	2018	1.40	12.280	77.700	10.020	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.314161780	Oven-drying method	0.042806609	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_8	101.70166700	37.40333300	2960	Grassland	2018	1.60	8.910	71.440	19.660	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.411817114	Oven-drying method	0.010022465	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_9	101.70166700	37.40333300	2960	Grassland	2018	1.80	18.010	77.030	4.950	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.298583429	Oven-drying method	0.056485444	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_10	101.70166700	37.40333300	2960	Grassland	2018	2.00	14.650	77.760	7.590	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.308348962	Oven-drying method	0.050433914	Constant head method	Centrifuge method	0.517573270	0.511295901	0.079656421	1.281487664	1.430955400	0.301166200	0.301657258	0.124035675	0.999999346	1.212846458	Q1-Q3
Yellow_River_Basin_1	1	1_11	101.70166700	37.40333300	2960	Grassland	2018	2.20	12.710	76.260	11.030	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.334855410	Oven-drying method	0.028879800	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_12	101.70166700	37.40333300	2960	Grassland	2018	2.40	16.580	79.400	4.020	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.232782335	Oven-drying method	0.055601857	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_13	101.70166700	37.40333300	2960	Grassland	2018	2.60	11.660	76.370	11.970	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.322067212	Oven-drying method	0.013475403	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_14	101.70166700	37.40333300	2960	Grassland	2018	2.80	13.950	77.410	8.630	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.434603358	Oven-drying method	0.005116517	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_15	101.70166700	37.40333300	2960	Grassland	2018	3.00	11.460	76.710	11.830	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.305093785	Oven-drying method	0.013954053	Constant head method	Centrifuge method	0.523618600	0.498056605	0.052189923	1.500392203	1.320959909	0.242974754	0.310270365	0.130067154	0.999999438	4.881796543	Q1-Q3
Yellow_River_Basin_1	1	1_16	101.70166700	37.40333300	2960	Grassland	2018	3.20	15.950	78.360	5.690	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.355084015	Oven-drying method	0.027869231	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_17	101.70166700	37.40333300	2960	Grassland	2018	3.40	15.660	79.790	4.540	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.367174676	Oven-drying method	0.015016445	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_18	101.70166700	37.40333300	2960	Grassland	2018	3.60	14.190	77.830	7.990	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.426697927	Oven-drying method	0.003538455	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_19	101.70166700	37.40333300	2960	Grassland	2018	3.80	12.570	79.940	7.480	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.322997263	Oven-drying method	0.020285059	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_20	101.70166700	37.40333300	2960	Grassland	2018	4.00	14.580	77.000	8.420	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.283005078	Oven-drying method	0.012471136	Constant head method	Centrifuge method	0.534081672	0.512612183	0.103703701	1.130284686	1.473290954	0.321247445	0.312049511	0.139385351	0.999998922	4.019888749	Q1-Q3
Yellow_River_Basin_1	1	1_21	101.70166700	37.40333300	2960	Grassland	2018	4.20	10.700	79.230	10.060	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.285097692	Oven-drying method	0.014821230	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_22	101.70166700	37.40333300	2960	Grassland	2018	4.40	14.590	77.890	7.520	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.302303632	Oven-drying method	0.018107926	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_23	101.70166700	37.40333300	2960	Grassland	2018	4.60	16.930	76.740	6.330	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.351131299	Oven-drying method	0.015466854	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_24	101.70166700	37.40333300	2960	Grassland	2018	4.80	15.270	77.660	7.080	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.384148103	Oven-drying method	0.012757126	Constant head method	Centrifuge method											
Yellow_River_Basin_1	1	1_25	101.70166700	37.40333300	2960	Grassland	2018	5.00	13.870	76.820	9.320	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.391123484	Oven-drying method	0.007820856	Constant head method	Centrifuge method	0.495949589	0.481586063	0.073946215	0.999807322	1.471933845	0.320621641	0.292735184	0.111900307	0.999999275	2.896166547	Q1-Q3
Yellow_River_Basin_2	2	2_0	101.66388900	36.52277800	2550	Grassland	2018	0.05	9.180	57.770	33.050	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.261613910	Oven-drying method	0.117273905	Constant head method	Centrifuge method	0.518270808	0.547078223	0.088215567	4.532706551	1.414807276	0.293189951	0.235497812	0.118640729	0.999999207	5.558371210	Q1-Q3
Yellow_River_Basin_2	2	2_1	101.66388900	36.52277800	2550	Grassland	2018	0.20	7.830	60.480	31.690	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.519237981	Oven-drying method	0.081614828	Constant head method	Centrifuge method	0.425498241	0.439558345	0.057306772	2.745384161	1.264003400	0.208862887	0.267261741	0.134891937	0.999998601	3.304386000	Q1-Q3
Yellow_River_Basin_2	2	2_2	101.66388900	36.52277800	2550	Grassland	2018	0.40	7.240	63.980	28.770	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.541094175	Oven-drying method	0.013992098	Constant head method	Centrifuge method	0.462235247	0.456803845	0.094160124	1.373403698	1.522690840	0.343267869	0.251981855	0.116319419	0.999998700	1.175029811	Min-Q1
Yellow_River_Basin_2	2	2_3	101.66388900	36.52277800	2550	Grassland	2018	0.60	8.030	57.700	34.280	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.585736613	Oven-drying method	0.015204729	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_4	101.66388900	36.52277800	2550	Grassland	2018	0.80	7.220	65.820	26.970	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.565508009	Oven-drying method	0.011523579	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_5	101.66388900	36.52277800	2550	Grassland	2018	1.00	5.670	60.180	34.150	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.450181709	Oven-drying method	0.034823320	Constant head method	Centrifuge method	0.491996873	0.482852406	0.090743217	1.516398038	1.670087874	0.401229112	0.218980782	0.100937872	0.999998995	1.858643319	Q1-Q3
Yellow_River_Basin_2	2	2_6	101.66388900	36.52277800	2550	Grassland	2018	1.20	6.710	65.910	27.380	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.282540053	Oven-drying method	0.099145200	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_7	101.66388900	36.52277800	2550	Grassland	2018	1.40	6.070	65.050	28.890	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.293933175	Oven-drying method	0.083276684	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_8	101.66388900	36.52277800	2550	Grassland	2018	1.60	6.270	64.760	28.970	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.291840561	Oven-drying method	0.107761886	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_9	101.66388900	36.52277800	2550	Grassland	2018	1.80	8.210	67.580	24.180	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.319974597	Oven-drying method	0.100055095	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_10	101.66388900	36.52277800	2550	Grassland	2018	2.00	6.640	63.370	29.980	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.379730361	Oven-drying method	0.079203585	Constant head method	Centrifuge method	0.509900351	0.504006519	0.087253858	1.850871377	1.663070239	0.398702486	0.208894032	0.097117811	0.999999452	1.155879075	Min-Q1
Yellow_River_Basin_2	2	2_11	101.66388900	36.52277800	2550	Grassland	2018	2.20	7.660	65.370	26.980	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.277192261	Oven-drying method	0.092835672	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_12	101.66388900	36.52277800	2550	Grassland	2018	2.40	7.590	66.230	26.180	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.278819850	Oven-drying method	0.092991949	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_13	101.66388900	36.52277800	2550	Grassland	2018	2.60	6.360	64.740	28.900	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.295328251	Oven-drying method	0.088576267	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_14	101.66388900	36.52277800	2550	Grassland	2018	2.80	6.070	58.310	35.620	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.351828837	Oven-drying method	0.057189006	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_15	101.66388900	36.52277800	2550	Grassland	2018	3.00	8.530	65.560	25.920	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.345550994	Oven-drying method	0.120432460	Constant head method	Centrifuge method	0.506180148	0.502224162	0.085802391	2.056077265	1.693320367	0.409444297	0.193082672	0.093527046	0.999999584	0.781537163	Min-Q1
Yellow_River_Basin_2	2	2_16	101.66388900	36.52277800	2550	Grassland	2018	3.20	6.450	64.780	28.780	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.223714340	Oven-drying method	0.101592057	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_17	101.66388900	36.52277800	2550	Grassland	2018	3.40	6.470	60.420	33.100	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.277424773	Oven-drying method	0.120032197	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_18	101.66388900	36.52277800	2550	Grassland	2018	3.60	6.140	63.110	30.750	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.335552948	Oven-drying method	0.078171223	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_19	101.66388900	36.52277800	2550	Grassland	2018	3.80	6.940	67.010	26.040	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.311604140	Oven-drying method	0.078506189	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_20	101.66388900	36.52277800	2550	Grassland	2018	4.00	7.170	70.970	21.860	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.365779599	Oven-drying method	0.058519521	Constant head method	Centrifuge method	0.505482610	0.506154692	0.088906190	1.541285117	1.698910447	0.411387456	0.217782902	0.098073578	0.999999519	0.132958620	Min-Q1
Yellow_River_Basin_2	2	2_21	101.66388900	36.52277800	2550	Grassland	2018	4.20	6.360	62.020	31.620	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.262543961	Oven-drying method	0.043156639	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_22	101.66388900	36.52277800	2550	Grassland	2018	4.40	7.430	70.050	22.520	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.313929267	Oven-drying method	0.041335591	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_23	101.66388900	36.52277800	2550	Grassland	2018	4.60	4.990	55.360	39.640	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.318812034	Oven-drying method	0.063148638	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_24	101.66388900	36.52277800	2550	Grassland	2018	4.80	5.190	64.460	30.360	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.331832745	Oven-drying method	0.050583727	Constant head method	Centrifuge method											
Yellow_River_Basin_2	2	2_25	101.66388900	36.52277800	2550	Grassland	2018	5.00	5.850	58.930	35.240	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.337645563	Oven-drying method	0.074190647	Constant head method	Centrifuge method	0.515015630	0.520206943	0.092304517	1.242752315	1.749165227	0.428298719	0.233945924	0.100699342	0.999999277	1.007991225	Min-Q1
Yellow_River_Basin_3	3	3_0	101.99388900	35.49250000	2740	Grassland	2018	0.05	6.160	45.010	48.830	Laser particle analyzer method	Level A	Loamy soils	Sandy Loam	1.741055097	Oven-drying method	0.021899817	Constant head method	Centrifuge method	0.372717858	0.376660764	0.000397843	1.055776881	1.158869954	0.137090407	0.299411669	0.168092704	0.999996670	1.057879525	Min-Q1
Yellow_River_Basin_3	3	3_1	101.99388900	35.49250000	2740	Grassland	2018	0.20	7.080	53.620	39.320	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.509704961	Oven-drying method	0.028930124	Constant head method	Centrifuge method	0.468978116	0.486076515	0.002064107	3.455197957	1.160359719	0.138198282	0.326114210	0.179135531	0.999995545	3.645884235	Q1-Q3
Yellow_River_Basin_3	3	3_2	101.99388900	35.49250000	2740	Grassland	2018	0.40	7.290	59.550	33.160	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.345783507	Oven-drying method	0.113013949	Constant head method	Centrifuge method	0.495019538	0.510774848	0.111403644	2.787491964	1.377303977	0.273943866	0.280926541	0.152059240	0.999998848	3.182765234	Q1-Q3
Yellow_River_Basin_3	3	3_3	101.99388900	35.49250000	2740	Grassland	2018	0.60	4.900	49.270	45.840	Laser particle analyzer method	Level A	Loamy soils	Sandy Loam	1.216506446	Oven-drying method	0.045202955	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_4	101.99388900	35.49250000	2740	Grassland	2018	0.80	5.950	50.450	43.590	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.489011330	Oven-drying method	0.019255998	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_5	101.99388900	35.49250000	2740	Grassland	2018	1.00	6.440	55.420	38.140	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.333925359	Oven-drying method	0.062678108	Constant head method	Centrifuge method	0.509435326	0.523827171	0.114086683	2.289009278	1.479277503	0.323994316	0.265741265	0.138809511	0.999999425	2.825058473	Q1-Q3
Yellow_River_Basin_3	3	3_6	101.99388900	35.49250000	2740	Grassland	2018	1.20	5.570	64.050	30.370	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.304861272	Oven-drying method	0.052306868	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_7	101.99388900	35.49250000	2740	Grassland	2018	1.40	4.860	67.450	27.690	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.382288001	Oven-drying method	0.045921873	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_8	101.99388900	35.49250000	2740	Grassland	2018	1.60	4.380	62.860	32.740	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.427162952	Oven-drying method	0.056095422	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_9	101.99388900	35.49250000	2740	Grassland	2018	1.80	4.800	63.790	31.400	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.391123484	Oven-drying method	0.090038643	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_10	101.99388900	35.49250000	2740	Grassland	2018	2.00	5.650	67.970	26.370	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.413677215	Oven-drying method	0.055913768	Constant head method	Centrifuge method	0.519665884	0.503450469	0.095716828	1.510125136	1.789524547	0.441192354	0.206071704	0.101266382	0.999998942	3.120353998	Q1-Q3
Yellow_River_Basin_3	3	3_11	101.99388900	35.49250000	2740	Grassland	2018	2.20	5.650	62.930	31.410	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.346713558	Oven-drying method	0.088797707	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_12	101.99388900	35.49250000	2740	Grassland	2018	2.40	4.160	62.860	32.970	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.374382569	Oven-drying method	0.079182160	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_13	101.99388900	35.49250000	2740	Grassland	2018	2.60	4.440	62.500	33.060	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.386240717	Oven-drying method	0.080129667	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_14	101.99388900	35.49250000	2740	Grassland	2018	2.80	5.910	65.740	28.340	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.393913636	Oven-drying method	0.090716523	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_15	101.99388900	35.49250000	2740	Grassland	2018	3.00	5.140	59.800	35.060	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.462504882	Oven-drying method	0.049334145	Constant head method	Centrifuge method	0.515713168	0.504984705	0.091241407	1.665589377	1.748800100	0.428179356	0.202746539	0.097772754	0.999999172	2.080315942	Q1-Q3
Yellow_River_Basin_3	3	3_16	101.99388900	35.49250000	2740	Grassland	2018	3.20	5.030	58.800	36.180	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.398331377	Oven-drying method	0.116519970	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_17	101.99388900	35.49250000	2740	Grassland	2018	3.40	5.170	56.930	37.890	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.405306758	Oven-drying method	0.104070300	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_18	101.99388900	35.49250000	2740	Grassland	2018	3.60	4.490	53.320	42.190	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.457157090	Oven-drying method	0.052872287	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_19	101.99388900	35.49250000	2740	Grassland	2018	3.80	5.040	58.550	36.400	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.456459552	Oven-drying method	0.049363578	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_20	101.99388900	35.49250000	2740	Grassland	2018	4.00	5.710	63.170	31.130	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.443903866	Oven-drying method	0.050550661	Constant head method	Centrifuge method	0.525013676	0.554921553	0.070995393	5.530299458	1.487791854	0.327862969	0.186761319	0.089060909	0.999999353	5.696589926	Q1-Q3
Yellow_River_Basin_3	3	3_21	101.99388900	35.49250000	2740	Grassland	2018	4.20	7.150	68.850	24.000	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.379032823	Oven-drying method	0.051256133	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_22	101.99388900	35.49250000	2740	Grassland	2018	4.40	4.710	60.870	34.420	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.435533409	Oven-drying method	0.067486193	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_23	101.99388900	35.49250000	2740	Grassland	2018	4.60	5.630	64.730	29.630	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.450646735	Oven-drying method	0.065994069	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_24	101.99388900	35.49250000	2740	Grassland	2018	4.80	4.250	57.960	37.770	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.458552167	Oven-drying method	0.050161696	Constant head method	Centrifuge method											
Yellow_River_Basin_3	3	3_25	101.99388900	35.49250000	2740	Grassland	2018	5.00	5.190	59.950	34.880	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.496219224	Oven-drying method	0.040400101	Constant head method	Centrifuge method	0.513620554	0.496804379	0.092378148	1.304283905	1.797221544	0.443585571	0.213071012	0.098310970	0.999996947	3.274046384	Q1-Q3
Yellow_River_Basin_4	4	4_0	102.29638900	36.07416700	2780	Grassland	2018	0.05	3.550	41.400	55.050	Laser particle analyzer method	Level A	Loamy soils	Sandy Loam	1.087229385	Oven-drying method	0.069201669	Constant head method	Centrifuge method	0.577794059	0.587037087	0.105599106	2.944540797	1.343173138	0.255494343	0.322245187	0.164737557	0.999997143	1.599709736	Q1-Q3
Yellow_River_Basin_4	4	4_1	102.29638900	36.07416700	2780	Grassland	2018	0.20	7.100	60.430	32.460	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.342528329	Oven-drying method	0.087722706	Constant head method	Centrifuge method	0.529431418	0.547733882	0.101128907	2.602123792	1.423065692	0.297291751	0.277123772	0.136607791	0.999997844	3.457003805	Q1-Q3
Yellow_River_Basin_4	4	4_2	102.29638900	36.07416700	2780	Grassland	2018	0.40	7.120	64.820	28.080	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.325554902	Oven-drying method	0.266788575	Constant head method	Centrifuge method	0.522223524	0.525782042	0.105020771	1.799108669	1.640257011	0.390339445	0.235248075	0.116556101	0.999999243	0.681416555	Min-Q1
Yellow_River_Basin_4	4	4_3	102.29638900	36.07416700	2780	Grassland	2018	0.60	9.950	63.700	26.360	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.614103163	Oven-drying method	0.007180734	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_4	102.29638900	36.07416700	2780	Grassland	2018	0.80	13.890	67.550	18.540	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.712223522	Oven-drying method	0.002515488	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_5	102.29638900	36.07416700	2780	Grassland	2018	1.00	11.200	65.070	23.730	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.435765922	Oven-drying method	0.063505984	Constant head method	Centrifuge method	0.476651035	0.479470824	0.090269334	2.292129757	1.486527497	0.327291287	0.232125198	0.112761494	0.999998810	0.591583467	Min-Q1
Yellow_River_Basin_4	4	4_6	102.29638900	36.07416700	2780	Grassland	2018	1.20	14.350	67.510	18.150	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.444833917	Oven-drying method	0.028957137	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_7	102.29638900	36.07416700	2780	Grassland	2018	1.40	12.570	62.360	25.070	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.275099646	Oven-drying method	0.053991377	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_8	102.29638900	36.07416700	2780	Grassland	2018	1.60	6.220	63.290	30.480	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.254871041	Oven-drying method	0.175443802	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_9	102.29638900	36.07416700	2780	Grassland	2018	1.80	9.660	71.220	19.120	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.304861272	Oven-drying method	0.196443422	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_10	102.29638900	36.07416700	2780	Grassland	2018	2.00	8.690	72.870	18.430	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.387635793	Oven-drying method	0.125158351	Constant head method	Centrifuge method	0.519898397	0.476265867	0.099630882	1.476565772	1.611707949	0.379540195	0.237042599	0.113309485	0.999999528	8.392510896	Q3-Max
Yellow_River_Basin_4	4	4_11	102.29638900	36.07416700	2780	Grassland	2018	2.20	7.360	75.340	17.310	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.305558810	Oven-drying method	0.050947978	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_12	102.29638900	36.07416700	2780	Grassland	2018	2.40	8.140	74.700	17.150	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.304628759	Oven-drying method	0.044256640	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_13	102.29638900	36.07416700	2780	Grassland	2018	2.60	8.090	73.660	18.230	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.310209064	Oven-drying method	0.031123269	Constant head method	Centrifuge method											
Yellow_River_Basin_4	4	4_14	102.29638900	36.07416700	2780	Grassland	2018	2.80	9.210	79.110	11.680	Laser particle analyzer method	Level A	Loamy soils	Silty Loam	1.338110588	Oven-drying method	0.035983468	Constant head method	Centrifuge method											
